created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,any_zscore_anomaly,zscore_anomaly_count,iforest_anomaly,iforest_score,anomaly_evidence
2026-08-30 15:20:00+00:00,14.38,17.23,2485.17,0.0,74.37,False,0,False,0.11298965198860456,None
2026-08-30 15:21:00+00:00,14.4,15.6,2625.75,0.25,19.66,False,0,False,0.21878824727653207,None
2026-08-30 15:22:00+00:00,15.81,20.37,2766.21,0.23,20.16,False,0,False,0.19936176256025373,None
2026-08-30 15:23:00+00:00,11.17,8.96,2734.23,0.0,72.55,False,0,False,0.12070090266094269,None
2026-08-30 15:24:00+00:00,15.91,20.12,2595.96,0.0,20.56,False,0,False,0.2545235398883453,None
2026-08-30 15:25:00+00:00,15.31,16.04,2880.76,0.0,21.08,False,0,False,0.2706900303911226,None
2026-08-30 15:26:00+00:00,10.89,7.5,3115.45,0.0,71.65,False,0,False,0.08741538416870509,None
2026-08-30 15:27:00+00:00,15.54,18.67,2617.07,0.62,68.12,False,0,False,0.08496099551458292,None
2026-08-30 15:28:00+00:00,15.48,17.3,2615.05,0.43,62.85,False,0,False,0.14379534733479982,None
2026-08-30 15:29:00+00:00,11.25,13.84,2735.98,0.85,59.58,False,0,False,0.09596654003028227,None
2026-08-30 15:30:00+00:00,14.9,17.62,2858.51,0.0,20.12,False,0,False,0.24357547649531558,None
2026-08-30 15:31:00+00:00,12.14,11.27,2694.65,0.4,19.74,False,0,False,0.21948416210181038,None
2026-08-30 15:32:00+00:00,8.56,11.5,2661.4,0.0,21.08,False,0,False,0.1953567988601747,None
2026-08-30 15:33:00+00:00,15.51,14.43,2814.96,0.0,20.05,False,0,False,0.20384825528292272,None
2026-08-30 15:34:00+00:00,10.55,12.65,2573.15,0.0,65.71,False,0,False,0.11578671648069816,None
2026-08-30 15:35:00+00:00,14.92,17.99,2884.54,0.0,20.65,False,0,False,0.264436443589845,None
2026-08-30 15:36:00+00:00,17.06,21.91,2716.01,0.0,20.01,False,0,False,0.23181797784735697,None
2026-08-30 15:37:00+00:00,19.42,22.48,2752.03,0.0,21.0,False,0,False,0.23468463960510993,None
2026-08-30 15:38:00+00:00,15.99,17.72,2509.69,0.0,65.94,False,0,False,0.16200030905159996,None
2026-08-30 15:39:00+00:00,13.84,16.69,2877.14,0.0,20.61,False,0,False,0.25695673593533264,None
2026-08-30 15:40:00+00:00,14.23,18.23,2528.12,0.0,62.4,False,0,False,0.1666654255286515,None
2026-08-30 15:41:00+00:00,13.2,15.59,2598.44,0.0,20.85,False,0,False,0.2372472974865777,None
2026-08-30 15:42:00+00:00,15.49,17.72,2487.79,0.0,53.62,False,0,False,0.1768033685845662,None
2026-08-30 15:43:00+00:00,12.43,17.97,2920.62,0.0,19.95,False,0,False,0.18318263546971647,None
2026-08-30 15:44:00+00:00,14.22,14.64,2818.29,0.0,19.88,False,0,False,0.25756224368541597,None
2026-08-30 15:45:00+00:00,16.17,19.88,2688.45,0.0,59.69,False,0,False,0.18962984836047803,None
2026-08-30 15:46:00+00:00,17.05,18.78,2890.75,0.13,19.79,False,0,False,0.2578400776181278,None
2026-08-30 15:47:00+00:00,17.6,19.24,2723.6,0.0,19.76,False,0,False,0.26278220920896955,None
